#File format: word,sPoint,nPoint,yPoint

#Sayori's winning words
счастье,3,2,1
печаль,3,2,1
смерть,3,1,2
трагедия,3,1,2
одиночество,3,1,2
любовь,3,2,1
приключение,3,2,1
сладкий,3,2,1
ажиотаж,3,2,1
фейерверк,3,2,1
романтика,3,2,1
слёзы,3,1,2
депрессия,3,1,2
сердце,3,2,1
свадьба,3,2,1
страсть,3,2,1
детство,3,2,1
радость,3,2,1
цвет,3,2,1
надежда,3,1,2
друзья,3,2,1
семья,3,2,1
вечеринка,3,2,1
каникулы,3,2,1
лень,3,2,1
грёзы,3,1,2
боль,3,1,2
праздник,3,2,1
кровать,3,2,1
перо,3,2,1
стыд,3,1,2
страх,3,1,2
теплота,3,2,1
цветок,3,2,1
уют,3,2,1
танец,3,2,1
пение,3,2,1
крик,3,1,2
смех,3,2,1
тьма,3,1,2
солнечный,3,2,1
тучи,3,2,1
покой,3,1,2
глупый,3,2,1
летающий,3,2,1
чудесный,3,2,1
безответный,3,1,2
роза,3,1,2
вместе,3,2,1
обещание,3,2,1
обаяние,3,2,1
красота,3,2,1
приободрение,3,2,1
улыбка,3,2,1
сломанный,3,1,2
дорогой,3,2,1
молитва,3,1,2
неуклюжий,3,2,1
прощение,3,1,2
природа,3,2,1
океан,3,2,1
очаровывать,3,2,1
особый,3,2,1
музыка,3,2,1
счастливый,3,2,1
неудача,3,1,2
громкий,3,2,1
мирный,3,1,2
веселье,3,1,2
закат,3,2,1
светлячки,3,2,1
радуга,3,2,1
обида,3,1,2
играть,3,2,1
блеск,3,2,1
шрамы,3,1,2
пустой,3,1,2
удивительный,3,2,1
горе,3,1,2
объятия,3,1,2
необычайный,3,2,1
потрясающий,3,2,1
поражение,3,1,2
безнадёжный,3,1,2
страдание,3,1,2
сокровище,3,2,1
блаженство,3,2,1
воспоминания,3,2,1

#Natsuki's words
милый,2,3,1
пушистый,2,3,1
чистый,1,3,2
конфеты,2,3,1
покупки,2,3,1
щенок,2,3,1
котёнок,2,3,1
облака,2,3,1
помада,1,3,2
парфе,2,3,1
клубника,2,3,1
розовый,2,3,1
шоколад,2,3,1
сердцебиение,1,3,2
поцелуй,1,3,2
мелодия,2,3,1
бантик,2,3,1
резвый,2,3,1
тук-тук,2,3,1
кавайный,2,3,1
юбка,2,3,1
щёки,2,3,1
е-мейл,2,3,1
липкий,2,3,1
энергичный,2,3,1
блестящий,2,3,1
грызть,2,3,1
фантазия,1,3,2
сахар,2,3,1
хихикать,2,3,1
зефир,2,3,1
скакать,2,3,1
классики,2,3,1
мир,2,3,1
вращение,2,3,1
вертеть,2,3,1
леденец,2,3,1
пуф,2,3,1
пузырьки,2,3,1
шёпот,2,3,1
лето,2,3,1
водопад,1,3,2
купальник,2,3,1
ваниль,2,3,1
наушники,2,3,1
игры,2,3,1
носки,2,3,1
волосы,2,3,1
песочница,2,3,1
пижама,1,3,2
одеяло,1,3,2
молоко,2,3,1
губки,2,3,1
злость,2,3,1
папа,2,3,1
валентинка,2,3,1
мышь,1,3,2
свист,2,3,1
жмяк,2,3,1
кролик,2,3,1
аниме,2,3,1
прыгать,2,3,1

#Yuri's words
решимость,1,1,3
самоубийство,2,1,3
воображение,2,1,3
скрытный,2,1,3
жизненность,1,1,3
существование,2,1,3
сверкающий,1,1,3
багровый,1,1,3
вихрь,1,1,3
послеобраз,1,1,3
головокружение,1,1,3
дезориентация,1,1,3
сущность,2,1,3
атмосфера,2,1,3
небосвод,2,1,3
смятение,1,1,3
загрязнение,1,1,3
интеллектуальный,1,1,3
анализ,1,1,3
энтропия,1,1,3
оживлённый,1,1,3
сверхъестественный,2,1,3
несовместимый,1,1,3
гнев,2,1,3
ниспосланный,2,1,3
бойня,2,1,3
философия,1,1,3
непостоянный,1,1,3
настойчивый,1,1,3
аура,2,1,3
неустойчивый,1,1,3
инферно,2,1,3
неспособный,2,1,3
судьба,2,1,3
непогрешимый,1,1,3
мучительный,2,1,3
расхождение,1,1,3
неконтролируемый,2,1,3
экстремальный,1,1,3
убегать,2,1,3
мечта,2,2,3
катастрофа,2,1,3
живописный,2,1,3
пышущий,1,2,3
вопрос,1,2,3
нагноение,2,1,3
предосуждение,1,1,3
клетка,1,2,3
взрываться,1,2,3
наслаждение,1,2,3
похоть,1,2,3
ощущение,1,2,3
кульминация,1,2,3
электричество,1,2,3
отрекаться,1,1,3
презирать,2,1,3
бесконечный,2,1,3
вечность,2,1,3
время,2,1,3
вселенная,2,1,3
нескончаемый,2,1,3
капли,2,1,3
жаждать,1,1,3
несдержанный,1,1,3
пейзаж,2,1,3
портрет,2,1,3
путешествие,2,1,3
скудный,1,1,3
беспокойство,2,1,3
пугающий,2,1,3
ужас,2,1,3
меланхолия,2,1,3
проницательность,2,1,3
искупление,2,1,3
дышать,1,2,3
пленник,2,1,3
желание,1,2,3
кладбище,2,1,3
